id,loan_status,grade,loan_amnt,term,home_ownership,annual_inc,dti,delinq_2yrs,inq_last_6mths,total_acc
36805548,Charged Off,A,10400, 36 months,MORTGAGE,58000,14.92,0,2,36
37662224,Charged Off,C,7650, 36 months,RENT,50000,34.810001,0,1,20
36804663,Charged Off,C,23325, 36 months,RENT,72000,27.030001,1,0,23
37800722,Charged Off,D,12975, 36 months,RENT,60000,22.42,0,0,19
37701596,Charged Off,B,10000, 36 months,RENT,90000,8.4399996,0,1,10
37822030,Charged Off,C,18450, 36 months,MORTGAGE,108000,23.370001,0,3,20
37661949,Charged Off,B,5000, 36 months,MORTGAGE,52000,14.35,0,2,39
37791995,Charged Off,C,4500, 36 months,OWN,34000,28.77,0,1,51
37841931,Charged Off,C,10975, 60 months,OWN,60400,33.66,0,0,45
37711991,Charged Off,D,14000, 36 months,RENT,45000,13.47,0,1,22
37641959,Charged Off,C,5000, 36 months,MORTGAGE,65000,11.39,0,1,15
37782025,Charged Off,G,16950, 60 months,MORTGAGE,56719,32.669998,0,1,57
37671924,Charged Off,C,16000, 36 months,MORTGAGE,80000,22.32,6,1,46
37752007,Charged Off,D,22200, 60 months,RENT,74500,8.0500002,0,0,14
37651796,Charged Off,F,10200, 60 months,MORTGAGE,106500,9.5799999,1,0,34
37731712,Charged Off,D,18000, 60 months,MORTGAGE,91000,10.42,0,1,13
37711880,Charged Off,D,20000, 36 months,MORTGAGE,50000,16.469999,0,1,12
37691888,Charged Off,D,15850, 36 months,RENT,44200,16.559999,0,3,36
37681636,Charged Off,F,22400, 60 months,MORTGAGE,70000,27.34,0,0,30
12389132,Charged Off,C,11200, 60 months,RENT,40000,29.07,0,0,30
37781998,Charged Off,E,14400, 60 months,MORTGAGE,70000,26.809999,0,1,29
37621870,Charged Off,B,26400, 60 months,MORTGAGE,85000,14.29,0,0,22
37631842,Charged Off,G,27200, 60 months,MORTGAGE,61972,25.25,0,1,20
37611926,Charged Off,F,33950, 36 months,RENT,125000,15.99,0,0,17
37831802,Charged Off,D,12000, 60 months,RENT,45000,30.67,0,1,24
37601834,Charged Off,D,31000, 60 months,RENT,120000,26.950001,0,0,26
37801825,Charged Off,C,24000, 36 months,RENT,80000,16.77,0,0,24
37681800,Charged Off,C,13825, 60 months,MORTGAGE,33000,11.78,0,0,20
37761762,Charged Off,D,8250, 36 months,RENT,23000,10.91,0,0,9
